code;Nom restaurant ;adresse;ville
75014;BEAUNIER;43, RUE BEAUNIER;PARIS
75005;MOUFFETARD;20, RUE ORTOLAN;PARIS
75008;MARCHE DE L'EUROPE;11, RUE MALLEVILLE;PARIS
75015;LA QUINTINIE;18, RUE BARGUE;PARIS
75003;AU MAIRE;2, RUE AU MAIRE;PARIS
75018;JOSEPH DE MAISTRE;88, RUE JOSEPH DE MAISTRE;PARIS
75002;SAINT-SAUVEUR;8, RUE SAINT-SAUVEUR;PARIS
75002;GRAMONT;28, RUE GRAMONT;PARIS
75013;TOLBIAC;166, RUE DE TOLBIAC;PARIS
75017;EPINETTES;51, RUE DES EPINETTES;PARIS
75005;JARDIN DES PLANTES;18-22, RUE POLIVEAU;PARIS
75013;;;
75013;CHARCOT;15, RUE CHARCOT;PARIS
75012;BRECHE AUX LOUPS;32, RUE DE LA BRECHE AUX LOUPS;PARIS
75003;MADELEINE BEJART;4, RUE DE LA PERLE;PARIS
75009;NAVARIN;12, RUE DE NAVARIN;PARIS
75013;ARAGO;49, BOULEVARD ARAGO;PARIS
75012;SAINT-ELOI;10, RUE EUGENIE EBOUE;PARIS
75016;JOUVENET;23, RUE JOUVENET;PARIS
75012;TOURELLES;22, RUE DU CHAFFAULT;PARIS
75004;AU PETIT REMOULEUR;1, RUE DE FOURCY;PARIS
75018;CLIGNANCOURT;14-16, SQUARE CLIGNANCOURT;PARIS
75006;ANDRE MALRAUX;112, RUE DE RENNES;PARIS
75020;SAINTS-SIMONIENS;18, RUE DE LA DUEE;PARIS
75017;TERNES;28, RUE BAYEN;PARIS
75011;CHANZY;6, RUE DE CHANZY;PARIS
75010;CLAUDE VELLEFAUX;66, AVENUE CLAUDE VELLEFAUX;PARIS
75014;LES ARTISTES;55-57, RUE DU MONTPARNASSE;PARIS
75005;BOUTEBRIE;15, RUE DE LA PARCHEMINERIE;PARIS
75019;TANGER;32, RUE DE TANGER;PARIS
75009;TOUR DES DAMES;8, RUE DE LA TOUR DES DAMES;paris
75007;LEPRINCE;109, RUE SAINT-DOMINIQUE;PARIS
75020;SAINT-BLAISE;2, RUE DU CLOS;PARIS
75014;MAINE;203, AVENUE DU MAINE;PARIS
75015;OSCAR ROTY;107, RUE DE LOURMEL;PARIS
75011;OMER TALON;33-37, RUE MERLIN;PARIS
75018;L'OASIS;15, RUE DE LAGHOUAT;PARIS
75005;PORT ROYAL;88, BOULEVARD DE PORT ROYAL;PARIS
75015;VAUGELAS;4, RUE VAUGELAS;PARIS
75014;ARBUSTES;9, RUE DES ARBUSTES;PARIS
75018;CAULAINCOURT;102, RUE DE CAULAINCOURT;PARIS
75010;VERDUN;14, AVENUE DE VERDUN;PARIS
75004;AVE MARIA;4, RUE DE L'AVE MARIA;PARIS
